id,batchID,batchIDLastChangedAt,bonus,bonusLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01KC79PKT9PB86ETCJTPVN79HT,01KC792PRTZHWRJ2KMDQQMG00W,2025-12-11T18:10:18.05718564Z,10,2025-12-11T18:10:25.427269645Z,B,2025-12-11T18:10:21.856002286Z,01KC792PS59W7MMQWZYWR4N84V,2025-12-11T18:10:18.05718564Z,01KC79EQ5VGND62AJQKN8RW603,2025-12-11T18:10:18.05718564Z,01KC79KPNHRTDB0AKJ45FFV7KX,2025-12-11T18:10:18.05718564Z
01KC79TEDY7RAE20A1A1PVRAS5,01KC792R3GAQ93Y2KWRDZ6PHKT,2025-12-11T18:12:23.614179784Z,10,2025-12-11T18:12:31.436110523Z,B,2025-12-11T18:12:30.68066243Z,01KC792R3VN56ANE0EJ3WM1V55,2025-12-11T18:12:23.614179784Z,01KC79GWXG2AN5SGG1MDP4PN8P,2025-12-11T18:12:23.614179784Z,01KC79S03XTP8XS09BEMYJAW3K,2025-12-11T18:12:23.614179784Z
01KC79Z8H6AZ19SYT1DF1XFW0K,01KC79Q7J7QADCZGK8XSKJE216,2025-12-11T18:15:01.414378383Z,20,2025-12-11T18:15:33.122308633Z,A,2025-12-11T18:15:21.455795737Z,01KC79Q7KZQDNHF5M1TY59AJCV,2025-12-11T18:15:01.414378383Z,01KC79VJYGBR0EM7VEEMCE0MFN,2025-12-11T18:15:01.414378383Z,01KC79Z2BV4EC65335DN3DKN9N,2025-12-11T18:15:01.414378383Z
01KC79ZRRFFK1H32QCE9G5Q1HP,01KC792QK3NQ9YQBMVC4J2ZJYJ,2025-12-11T18:15:18.031587141Z,29,2025-12-11T18:15:33.362747726Z,D,2025-12-11T18:15:26.223722281Z,01KC792QKEWXFRRJ193215MS3Y,2025-12-11T18:15:18.031587141Z,01KC79FVG65F2QE0J459PXW400,2025-12-11T18:15:18.031587141Z,01KC79RHFQRNQVC5F2A589BBFR,2025-12-11T18:15:18.031587141Z
01KC7A13TTC23ESY9CG8W0DPBH,01KC79VHM39RKDQ5AVAA0Z0XN2,2025-12-11T18:16:02.138398002Z,22,2025-12-11T18:16:31.964797469Z,C,2025-12-11T18:16:19.689139242Z,01KC79VHQXS5144TA5BP0D53S4,2025-12-11T18:16:02.138398002Z,01KC79VA8M98QPTD70XDPZ3WPD,2025-12-11T18:16:02.138398002Z,01KC7A0XGTXC3ND7Q1AVG2J4YK,2025-12-11T18:16:02.138398002Z
01KC7ADTP54F8EK0S6BVE5AB36,01KC79VJ7VQR2HR116V55XY14K,2025-12-11T18:22:58.757924096Z,0,2025-12-11T18:23:02.49002158Z,B,2025-12-11T18:23:00.837919511Z,01KC79VJDQXC2W66T6DBS0M1ZZ,2025-12-11T18:22:58.757924096Z,01KC79YVX8PSX2NTZ222FJ32NZ,2025-12-11T18:22:58.757924096Z,01KC7A7HC9T95KVR0ZHCN52XGC,2025-12-11T18:22:58.757924096Z
01KC7AF3K5HWB7T2WYNJ2KCN98,01KC79VJ1XZ02D6PCVP5WH7QJ5,2025-12-11T18:23:40.645761598Z,0,2025-12-11T18:24:11.267561604Z,D,2025-12-11T18:24:11.155642291Z,01KC79VJ6S95MS6XD8D1HAJ57N,2025-12-11T18:23:40.645761598Z,01KC79JH0R6P4AJXEP9MB1KQ0F,2025-12-11T18:23:40.645761598Z,01KC7A4Z81EK1514X1VANTJAP3,2025-12-11T18:23:40.645761598Z
01KC7AJSY4TYRTD8G7H894F7JW,01KC79VJE7CNPF3WFGNWFS1AX9,2025-12-11T18:25:41.828385301Z,19,2025-12-11T18:26:33.703852475Z,D,2025-12-11T18:26:33.590084789Z,01KC79VJRN83Z6TJ4WRC66DE0Y,2025-12-11T18:25:41.828385301Z,01KC79W2774N3YJ8ZFWVXYQRRP,2025-12-11T18:25:41.828385301Z,01KC7AADPZMFBBB3RADH923RMG,2025-12-11T18:25:41.828385301Z
01KC79EF79Y2HSH0RTVSY100P1,01KC792RSWBXR1CBEJH052NEY8,2025-12-11T18:05:51.209771209Z,22,2025-12-11T18:05:52.827772987Z,C,2025-12-11T18:05:52.368917689Z,01KC792RTASY0JSKRRE5K8E1F9,2025-12-11T18:05:51.209771209Z,01KC7968GT4Y7W2K61YEZYYZ01,2025-12-11T18:05:51.209771209Z,01KC79C6FRNB8KEV0XHPW3HNSP,2025-12-11T18:05:51.209771209Z
01KC79HRF63FWWSQ0CWHST6CP7,01KC792S5XKA02FKX43NFPRQY2,2025-12-11T18:07:38.982092074Z,12,2025-12-11T18:07:48.127632373Z,C,2025-12-11T18:07:43.467422851Z,01KC792S662BJ5HPY24M0VV8VJ,2025-12-11T18:07:38.982092074Z,01KC79G6GD2ZRB70H9GZQ1HV8N,2025-12-11T18:07:38.982092074Z,01KC79HQB0FB0CSYWSFDE13K73,2025-12-11T18:07:38.982092074Z
